306.014,164
306.052,164
306.099,164
306.133,164
306.164,164
306.197,164
306.229,165
306.268,165
306.296,164
306.329,165
306.363,165
306.415,164
306.444,165
306.478,165
306.529,164
306.558,165
306.603,164
306.634,164
306.663,165
306.687,165
306.734,165
306.766,165
306.801,165
306.833,164
306.877,165
306.905,165
306.953,165
307.004,164
307.037,165
307.069,165
307.106,164
307.147,165
307.183,165
307.205,165
307.244,165
307.286,165
307.323,165
307.365,165
307.407,165
307.429,165
307.47,165
307.52,165
307.554,165
307.599,165
307.624,166
307.663,165
307.697,165
307.729,165
307.776,164
307.819,165
307.846,165
307.878,165
307.913,165
307.946,165
307.998,165
308.025,165
308.069,165
308.104,165
308.142,165
308.183,165
308.226,165
308.262,165
308.301,165
308.336,165
308.369,166
308.418,165
308.462,166
308.5,165
308.523,165
308.565,166
308.595,166
308.643,165
308.681,166
308.71,165
308.755,165
308.777,166
308.812,165
308.865,166
308.9,166
308.928,165
308.968,165
309.008,165
309.034,166
309.074,165
309.102,165
309.134,165
309.179,165
309.209,165
309.243,166
309.281,166
309.312,166
309.352,166
309.386,165
309.426,166
309.471,166
309.503,166
309.538,166
309.567,165
309.599,166
309.632,166
309.674,165
309.705,165
309.735,165
309.776,164
309.812,166
309.859,166
309.893,165
309.928,166
309.97,165
310.006,165
310.047,165
310.094,165
310.125,165
310.164,165
310.209,165
310.239,166
310.274,165
310.315,166
310.354,166
310.386,166
310.418,165
310.457,165
310.487,166
310.531,165
310.568,165
310.597,165
310.636,165
310.659,165
310.705,165
310.746,165
310.787,165
310.821,165
310.857,165
310.897,165
310.933,165
310.979,165
311.009,164
311.045,164
311.092,164
311.129,164
311.17,164
311.203,164
311.242,164
311.274,164
311.309,164
311.337,163
311.371,164
311.412,163
311.451,163
311.495,164
311.529,163
311.573,163
311.604,163
311.639,163
311.671,162
311.713,163
311.745,163
311.784,163
311.818,162
311.85,162
311.885,162
311.918,162
311.967,162
312.013,161
312.048,161
312.077,161
312.122,161
312.157,161
312.186,161
312.235,160
312.264,160
312.301,160
312.335,158
312.374,160
312.417,159
312.453,159
312.485,159
312.521,159
312.552,158
312.593,158
312.63,158
312.668,158
312.702,157
312.759,157
312.796,156
312.832,156
312.865,157
312.923,156
312.949,156
